"Prebivalstvo po velikih in petletnih starostnih skupinah in spolu, statistiène regije, Slovenija, letno"

"Moški"
" ";"Pomurska"
" ";" ";"0-4 let"
" ";" ";" ";"2012";2755
" ";" ";" ";"2013";2748
" ";" ";" ";"2014";2734
" ";" ";"60-64 let"
" ";" ";" ";"2010";2022
" ";" ";" ";"2011";2211
" ";" ";" ";"2012";2355
" ";" ";" ";"2013";2452
" ";" ";" ";"2014";2535
" ";" ";"65-69 let"
" ";" ";" ";"2010";1537
" ";" ";" ";"2011";1470
" ";" ";" ";"2012";1547
" ";" ";" ";"2013";1623
" ";" ";" ";"2014";1697
" ";" ";"70-74 let"
" ";" ";" ";"2010";1298
" ";" ";" ";"2011";1321
" ";" ";" ";"2012";1334
" ";" ";" ";"2013";1318
" ";" ";" ";"2014";1360
" ";" ";"75-79 let"
" ";" ";" ";"2010";991
" ";" ";" ";"2011";993
" ";" ";" ";"2012";984
" ";" ";" ";"2013";1024
" ";" ";" ";"2014";1022
" ";" ";"80-84 let"
" ";" ";" ";"2010";541
" ";" ";" ";"2011";580
" ";" ";" ";"2012";620
" ";" ";" ";"2013";632
" ";" ";" ";"2014";651
" ";" ";"85-89 let"
" ";" ";" ";"2010";230
" ";" ";" ";"2011";237
" ";" ";" ";"2012";256
" ";" ";" ";"2013";263
" ";" ";" ";"2014";278
" ";" ";"90-94 let"
" ";" ";" ";"2010";35
" ";" ";" ";"2011";46
" ";" ";" ";"2012";56
" ";" ";" ";"2013";70
" ";" ";" ";"2014";87
" ";" ";"95-99 let"
" ";" ";" ";"2010";6
" ";" ";" ";"2011";10
" ";" ";" ";"2012";5
" ";" ";" ";"2013";7
" ";" ";" ";"2014";8
" ";" ";"100 + let"
" ";" ";" ";"2010";1
" ";" ";" ";"2011";1
" ";" ";" ";"2012";1
" ";" ";" ";"2013";2
" ";" ";" ";"2014";2
" ";"Jugovzhodna Slovenija"
" ";" ";"0-4 let"
" ";" ";" ";"2010";3818
" ";" ";" ";"2011";3986
" ";" ";" ";"2012";4133
" ";" ";" ";"2013";4225
" ";" ";" ";"2014";4225
" ";" ";"5-9 let"
" ";" ";" ";"2010";3401
" ";" ";" ";"2011";3432
" ";" ";" ";"2012";3447
" ";" ";" ";"2013";3496
" ";" ";" ";"2014";3720
" ";" ";"10-14 let"
" ";" ";" ";"2010";3602
" ";" ";" ";"2011";3539
" ";" ";" ";"2012";3529
" ";" ";" ";"2013";3482
" ";" ";" ";"2014";3453
" ";" ";"15-19 let"
" ";" ";" ";"2010";4235
" ";" ";" ";"2011";4118
" ";" ";" ";"2012";3931
" ";" ";" ";"2013";3768
" ";" ";" ";"2014";3612
" ";" ";"20-24 let"
" ";" ";" ";"2010";4962
" ";" ";" ";"2011";4802
" ";" ";" ";"2012";4587
" ";" ";" ";"2013";4339
" ";" ";" ";"2014";4035
" ";" ";"25-29 let"
" ";" ";" ";"2010";5876
" ";" ";" ";"2011";5702
" ";" ";" ";"2012";5477
" ";" ";" ";"2013";5294
" ";" ";" ";"2014";5211
" ";" ";"30-34 let"
" ";" ";" ";"2010";5817
" ";" ";" ";"2011";5895
" ";" ";" ";"2012";5947
" ";" ";" ";"2013";5944
" ";" ";" ";"2014";5892
