"STAROST";"SPOL";"LETO";Umrli
"39 let";"Ženske";"2013";9
"39 let";"Ženske";"2014";6
"40 let";"Moški";"2010";22
"40 let";"Moški";"2011";33
"40 let";"Moški";"2012";12
"40 let";"Moški";"2013";28
"40 let";"Moški";"2014";19
"40 let";"Ženske";"2010";8
"40 let";"Ženske";"2011";12
"40 let";"Ženske";"2012";5
"40 let";"Ženske";"2013";9
"40 let";"Ženske";"2014";5
"41 let";"Moški";"2010";29
"41 let";"Moški";"2011";23
"41 let";"Moški";"2012";19
"41 let";"Moški";"2013";23
"41 let";"Moški";"2014";16
"41 let";"Ženske";"2010";11
"41 let";"Ženske";"2011";13
"41 let";"Ženske";"2012";13
"41 let";"Ženske";"2013";13
"41 let";"Ženske";"2014";8
"42 let";"Moški";"2010";29
"42 let";"Moški";"2011";27
"42 let";"Moški";"2012";25
"42 let";"Moški";"2013";19
"42 let";"Moški";"2014";26
"42 let";"Ženske";"2010";13
"42 let";"Ženske";"2011";16
"42 let";"Ženske";"2012";9
"42 let";"Ženske";"2013";12
"42 let";"Ženske";"2014";9
"43 let";"Moški";"2010";44
"43 let";"Moški";"2011";39
"43 let";"Moški";"2012";23
"43 let";"Moški";"2013";30
"43 let";"Moški";"2014";23
"43 let";"Ženske";"2010";12
"43 let";"Ženske";"2011";20
"43 let";"Ženske";"2012";11
"43 let";"Ženske";"2013";15
"43 let";"Ženske";"2014";8
"44 let";"Moški";"2010";45
"44 let";"Moški";"2011";49
"44 let";"Moški";"2012";34
"44 let";"Moški";"2013";33
"44 let";"Moški";"2014";24
"44 let";"Ženske";"2010";28
"44 let";"Ženske";"2011";16
"44 let";"Ženske";"2012";16
"44 let";"Ženske";"2013";8
"44 let";"Ženske";"2014";17
"45 let";"Moški";"2010";49
"45 let";"Moški";"2011";46
"45 let";"Moški";"2012";37
"45 let";"Moški";"2013";29
"45 let";"Moški";"2014";32
"45 let";"Ženske";"2010";27
"45 let";"Ženske";"2011";28
"45 let";"Ženske";"2012";17
"45 let";"Ženske";"2013";15
"45 let";"Ženske";"2014";19
"46 let";"Moški";"2010";53
"46 let";"Moški";"2011";41
"46 let";"Moški";"2012";52
"46 let";"Moški";"2013";43
"46 let";"Moški";"2014";47
"46 let";"Ženske";"2010";18
"46 let";"Ženske";"2011";24
"46 let";"Ženske";"2012";16
"46 let";"Ženske";"2013";18
"46 let";"Ženske";"2014";12
"47 let";"Moški";"2010";63
"47 let";"Moški";"2011";39
"47 let";"Moški";"2012";37
"47 let";"Moški";"2013";34
"47 let";"Moški";"2014";35
"47 let";"Ženske";"2010";18
"47 let";"Ženske";"2011";19
"47 let";"Ženske";"2012";25
"47 let";"Ženske";"2013";25
"47 let";"Ženske";"2014";21
"48 let";"Moški";"2010";62
"48 let";"Moški";"2011";60
"48 let";"Moški";"2012";63
"48 let";"Moški";"2013";57
"48 let";"Moški";"2014";38
"48 let";"Ženske";"2010";30
"48 let";"Ženske";"2011";25
"48 let";"Ženske";"2012";22
"48 let";"Ženske";"2013";23
"48 let";"Ženske";"2014";24
"49 let";"Moški";"2010";49
"49 let";"Moški";"2011";64
"49 let";"Moški";"2012";74
"49 let";"Moški";"2013";50
"49 let";"Moški";"2014";46
"49 let";"Ženske";"2010";27
"49 let";"Ženske";"2011";33
"49 let";"Ženske";"2012";32
"49 let";"Ženske";"2013";28
"49 let";"Ženske";"2014";27
"50 let";"Moški";"2010";71
"50 let";"Moški";"2011";77
"50 let";"Moški";"2012";70
"50 let";"Moški";"2013";55
"50 let";"Moški";"2014";64
"50 let";"Ženske";"2010";38
"50 let";"Ženske";"2011";35
"50 let";"Ženske";"2012";28
"50 let";"Ženske";"2013";21
"50 let";"Ženske";"2014";23
"51 let";"Moški";"2010";83
"51 let";"Moški";"2011";73
"51 let";"Moški";"2012";84
"51 let";"Moški";"2013";74
"51 let";"Moški";"2014";62
